-10.1824	-33.0000
-9.8037	-33.0000
-9.8037	-18.3054
-9.6300	-17.3206
-9.4564	-18.3054
-9.4564	-33.0000
-9.0629	-33.0000
-9.0629	-18.3054
-8.8892	-17.3206
-8.7156	-18.3054
-8.7156	-33.0000
-8.3221	-33.0000
-8.3221	-18.3054
-8.1485	-17.3206
-7.9748	-18.3054
-7.9748	-33.0000
-7.5813	-33.0000
-7.5813	-18.3054
-7.4077	-17.3206
-7.2340	-18.3054
-7.2340	-33.0000
-6.8406	-33.0000
-6.8406	-18.3054
-6.6669	-17.3206
-6.4933	-18.3054
-6.4933	-33.0000
-6.0998	-33.0000
-6.0998	-18.3054
-5.9262	-17.3206
-5.7525	-18.3054
-5.7525	-33.0000
-5.3590	-33.0000
-5.3590	-18.3054
-5.1854	-17.3206
-5.0117	-18.3054
-5.0117	-33.0000
-4.6183	-33.0000
-4.6183	-18.3054
-4.4446	-17.3206
-4.2710	-18.3054
-4.2710	-33.0000
-3.8775	-33.0000
-3.8775	-18.3054
-3.7039	-17.3206
-3.5302	-18.3054
-3.5302	-33.0000
-3.1367	-33.0000
-3.1367	-18.3054
-2.9631	-17.3206
-2.7894	-18.3054
-2.7894	-33.0000
-2.3960	-33.0000
-2.3960	-18.3054
-2.2223	-17.3206
-2.0487	-18.3054
-2.0487	-33.0000
-1.6552	-33.0000
-1.6552	-18.3054
-1.4815	-17.3206
-1.3079	-18.3054
-1.3079	-33.0000
-0.9144	-33.0000
-0.9144	-18.3054
-0.7408	-17.3206
-0.5671	-18.3054
-0.5671	-33.0000
-0.1737	-33.0000
-0.1737	-18.3054
0.0000	-17.3206
0.1737	-18.3054
0.1737	-33.0000
0.5671	-33.0000
0.5671	-18.3054
0.7408	-17.3206
0.9144	-18.3054
0.9144	-33.0000
1.3079	-33.0000
1.3079	-18.3054
1.4815	-17.3206
1.6552	-18.3054
1.6552	-33.0000
2.0487	-33.0000
2.0487	-18.3054
2.2223	-17.3206
2.3960	-18.3054
2.3960	-33.0000
2.7894	-33.0000
2.7894	-18.3054
2.9631	-17.3206
3.1367	-18.3054
3.1367	-33.0000
3.5302	-33.0000
3.5302	-18.3054
3.7039	-17.3206
3.8775	-18.3054
3.8775	-33.0000
4.2710	-33.0000
4.2710	-18.3054
4.4446	-17.3206
4.6183	-18.3054
4.6183	-33.0000
5.0117	-33.0000
5.0117	-18.3054
5.1854	-17.3206
5.3590	-18.3054
5.3590	-33.0000
5.7525	-33.0000
5.7525	-18.3054
5.9262	-17.3206
6.0998	-18.3054
6.0998	-33.0000
6.4933	-33.0000
6.4933	-18.3054
6.6669	-17.3206
6.8406	-18.3054
6.8406	-33.0000
7.2340	-33.0000
7.2340	-18.3054
7.4077	-17.3206
7.5813	-18.3054
7.5813	-33.0000
7.9748	-33.0000
7.9748	-18.3054
8.1485	-17.3206
8.3221	-18.3054
8.3221	-33.0000
8.7156	-33.0000
8.7156	-18.3054
8.8892	-17.3206
9.0629	-18.3054
9.0629	-33.0000
9.4564	-33.0000
9.4564	-18.3054
9.6300	-17.3206
9.8037	-18.3054
9.8037	-33.0000
10.1824	-33.0000
10.1316	-14.9426
5.7532	-7.2976
5.2180	-6.5594
4.2952	-6.0057
0.4473	-4.6677
0.3366	-4.5501
0.3343	-4.2917
4.5374	1.3186
10.4131	0.8965
10.7891	0.5989
11.0521	-17.2149
10.7015	-33.1602
10.5723	-33.8061
10.0647	-34.1660
-10.0647	-34.1660
-10.5723	-33.8061
-10.7015	-33.1602
-11.0521	-17.2149
-10.7891	0.5989
-10.4131	0.8965
-4.5374	1.3186
-0.3343	-4.2917
-0.3366	-4.5501
-0.4473	-4.6677
-4.2952	-6.0057
-5.2180	-6.5594
-5.7532	-7.2976
-10.1316	-14.9426
-10.1824	-33.0000
